,As_of_Year,Respondent_Name_CR,State,Count,Sum,Median,Percentage,colors
55,2012,FREEDOM MORTGAGE CORPORATION,VA,1994,545740,255.0,0.016399338773756527,#F48A47
56,2012,FREEDOM MORTGAGE CORPORATION,WV,129,19672,144.0,0.011072374560555286,#F48A47
57,2012,GEORGE MASON MORTGAGE LLC,DC,742,314007,405.0,0.06048086998058492,#42039D
58,2012,GEORGE MASON MORTGAGE LLC,DE,84,19240,222.5,0.007777256778825166,#42039D
59,2012,GEORGE MASON MORTGAGE LLC,MD,3228,1060555,308.0,0.03446357601776662,#42039D
60,2012,GEORGE MASON MORTGAGE LLC,VA,6558,2358923,340.0,0.07088499545242435,#42039D
61,2012,GEORGE MASON MORTGAGE LLC,WV,31,5613,175.0,0.0031592740142535997,#42039D
62,2012,INTERCOASTAL MORTGAGE COMPANY,DC,126,50565,386.5,0.009739321704829116,#FDB030
63,2012,INTERCOASTAL MORTGAGE COMPANY,DE,1,304,304.0,0.00012288389089204003,#FDB030
64,2012,INTERCOASTAL MORTGAGE COMPANY,MD,155,56610,319.0,0.0018395868562835198,#FDB030
65,2012,INTERCOASTAL MORTGAGE COMPANY,VA,2326,914263,380.0,0.027473354830708695,#FDB030
66,2012,INTERCOASTAL MORTGAGE COMPANY,WV,1,256,256.0,0.0001440894615444364,#FDB030
67,2012,JPMORGAN CHASE BANK NA,DC,467,180760,307.0,0.03481617307158926,#5E00A5
68,2012,JPMORGAN CHASE BANK NA,DE,1662,296550,166.0,0.11987242711853445,#5E00A5
69,2012,JPMORGAN CHASE BANK NA,MD,8751,1785753,184.0,0.058029460296217354,#5E00A5
70,2012,JPMORGAN CHASE BANK NA,VA,5368,875706,144.0,0.02631472745302018,#5E00A5
71,2012,JPMORGAN CHASE BANK NA,WV,1753,214840,110.0,0.120922577805495,#5E00A5
72,2012,MCLEAN MORTGAGE CORPORATION,DC,133,53798,377.0,0.010362029646522235,#E46A5D
73,2012,MCLEAN MORTGAGE CORPORATION,DE,2,362,181.0,0.00014632884375960031,#E46A5D
74,2012,MCLEAN MORTGAGE CORPORATION,MD,320,115629,335.0,0.0037574560785233546,#E46A5D
75,2012,MCLEAN MORTGAGE CORPORATION,VA,3225,1115266,330.0,0.03351344038709339,#E46A5D
76,2012,MCLEAN MORTGAGE CORPORATION,WV,8,1481,204.0,0.0008335800490129309,#E46A5D
77,2012,MONARCH BANK,DC,224,94887,391.5,0.018276179543283307,#B42D8D
78,2012,MONARCH BANK,DE,24,6744,280.5,0.0027260821058418356,#B42D8D
79,2012,MONARCH BANK,MD,3072,916890,271.5,0.02979506787948766,#B42D8D
80,2012,MONARCH BANK,VA,2558,626732,228.0,0.018833126375845596,#B42D8D
81,2012,MONARCH BANK,WV,8,1537,167.5,0.0008650996187257764,#B42D8D
82,2012,MOVEMENT MORTGAGE LLC,DC,5,1970,307.0,0.0003794415852568646,#EFF821
83,2012,MOVEMENT MORTGAGE LLC,MD,84,21555,223.0,0.0007004468236564436,#EFF821
84,2012,MOVEMENT MORTGAGE LLC,VA,2597,557928,194.0,0.016765584863422934,#EFF821
85,2012,NFCU,DC,202,74627,315.5,0.014373902123331998,#8607A6
86,2012,NFCU,DE,97,22915,228.0,0.00926277749931282,#8607A6
87,2012,NFCU,MD,3317,968120,267.0,0.03145982736804807,#8607A6
88,2012,NFCU,VA,4446,990920,210.0,0.029776876860209654,#8607A6
